id;sentiment;message
1;;"Bonjour   Je viens vous voir car j'ai un soucie pour mon passage de l'adsl et vdsl, voila l'historique:   - 6 janvier je passe par le 3900 pour changer mon offre, tout ce passe bien et on m'envoie la nouvelle Box - 9 janvier je recoie ma nouvelle box et r'envoie l'ancienne (par un point relai) et dans la foulée je recois un message me disant que le changement sera actif sous 10 jours. - 18 janvier je contact un conseillé par echat pour avoir des informations car aucun changement, ils sont désolé du retard, le changement sera fait sous 24h voir 48h maxi. - 20 janvier, coupure internet et donc plus de telephone, je contact le 3900 par mobile du village d'a coté (et oui les portables captent pas chez moi, tres pratique qsuand on a plus de telephone non plus) il m'annonce par message vocal un probleme regional et donc ma coupure durera jusqu'au 23 janvier - 22 janvier, retour d'internet mais toujours pas de vdsl et meme un debit adsl plus faible qu'avant. Impossible de contacter le 3900 car ds que je donne mon numero de telephone il me r'envoie sur un message pré enregistré concernant ce fameux probleme regional. Je contact un coseillé par echat et la toujours aucune info, juste ""comme indiqué sur votre commande ca peu aller jusqu'au 26 janvier pour la mise en route, attendez que ca ce passe"".   Donc finallement, coupure internet/telephone de 2 jours, pas d'info par le 3900 et bien sur du ""je sais rien"" cammouflé par echat.   Je trouve ca deplorable le manque d'information et de serieux pour un opérateur comme orange, si je me permettais de bloquer mon prelevement automatique et de leur dire que je payerai quand j'en aurai envie ou que j'avais un probleme, je ne pensse pas qu'ils seraient aussi peu réactifs.   Enfn, si en tant qu'ancien utilisateurs ayant vecu ce genre de probleme vous pouvez m'aider j'en serai ravi   Merci"
2;;Bonjour,   De temps à autre, je reois dans ma bal secondaire a.....e@orange.fr des mails qui ne me sont pas destinés. Aupravant, ma boite était a....e@wanadoo.fr, et je pense que a doit jouer. Les mails proviennent de personnes variées, et sont également adressés à des personnes différentes.   Je demande donc à Orange de bien vérifier qu'uil n'existe pas de doublons. C'est assez ennuyeux pour moi de recevoir des mails qui ne me sont pas destinés, mais a l'est certainement encore plus pour les interlocuteurs qui du coup ne peuvent pas communiquer.   J'aimerais bien savoir si Orange arrivera à résoudre problme qui me semble hyperpointu et quasiment insoluble. Mais il peut aussi s'agir de gens qui tapent mal l'adresse, qui sait ?   A suivre.   Cordialement,   Pascal P.
3;;"Bonjour, Je viens d'installer l'Anti-virus sur un ordi nouvellement acheté (Windows10). En voulant installer Google Chrome comme navigateur par défaut, celui-ci m'indique, lorsque je veux ouvvrir une nouvelle page : ""Votre connexion n'est pas privée Il se peut que des pirates soient en train d'essayer de dérober vos informations sur le sitewww.google.fr (par exemple, des mots de passe, des messages ou des informations sur vos cartes de paiement)""  Or je n'ai pas ce souci avec Internet Exploreur. Est-ce un problme de paramétrage de Chrome ou de l'Anti-virus ? D""avance, merci pour vos réponses."
4;;"Bonjour, J'ai créé une adresse secondaire début janvier et j'ai envoyé des messages qui sont arrivés (j'ai eu confirmation) mais certains messages ne m'arrivent pas alors que j'ai également eu confirmation que les destinataires m'avaient retourné une réponse. J'ai contacté l'assistance orange : elle ne constate pas de dysfonctionnement. Par ailleurs, je n'ai rien paramétré du type ""liste rouge"" ""anti-spam"" ou autre. Avez-vous été confronté à ce problme ? Merci d'avance"
5;;Bonjour, certain jours j'ai une connexion normal 20 de ping / 9mbps en descendant et en montant 0.80 mbps je possde l'ADSL, et d'autre jour sa m'arrive d'avoir un connexion qui bug 200 de ping / 4mbps en descendant et en montant 0.33 mbps.Pour info j'ai la tv d'orange et un ligne par internet. Je pense que ma connexion est instable, ci-dessous les informations sur ma connexion:   Information du systeme du panel de la livebox play:
6;;Bonjour, est-ce qu'un webconseiller pourrait m'aider? Ma petite soeur a réalisé un achat sans le vouloir sur un jeu ''freemium'' , résultat Facturation de 29,99euros. Pouvez vous me donner les démarches pour résilier cette facturation? Je vais suivre les instructions pour bloquer sms + Merci de votre réponse rapide Cordialement Laurie.C
7;;Bonjour, J'ai un décodeur IHD92 J'ai un téléviseur KDL 50W755c J'ai un débit internet R 11,53 MB/s - E 0,980 Mb/s J'ai un c‰ble Ethernet de 7m vers mon décodeur - branchér sur la prise jaune de ma livebox Question : Puis-je mettre un swith TP-Link modle TL-SF1005D 4 sorties au bout de ce c‰ble pour alimenter mon décodeur et ma télévision sans altérer quoique ce soit  ? Merci de m'aider ...
8;;De puis quelques jours mes e-mails ne s'affichent plus sur mon Samsung que je n'ai pas depuis longtemps et un peu de mal à utiliser. Sur la 1re page il s'affiche echec de connexion. J'ai changé le mot de passe comme celà m'a été demandé, sur mon PC également. La petite sonnerie annonant les mails fonctionne mais ils ne s'affichent pas ?? Merci Monique Marie.
9;;Bonjour,   Comment se fait-il que la liste verte perd les noms de domaines, que j'ai ajouté quelques jours AVANT ????? Effectivement, si j'ouvre la liste verte, je ne trouve plus ces noms ?   De plus la gestion de ces listes que ce soit la VERTE, la ROUGE, je trouve cette gestion d'un ARCHAISME d'un autre age !!!   Quand allez-vous moderniser cette fonction ?    . On ne peut pas agrandir les zones  . On est obligé de galérer avec les ascenceurs  . Si le nom est trop long on arrive mme pas à l'afficher en entier  . On ne peut pas faire de copier coller  . La liste ne peut pas tre réorganisée, triée  . etc.   Pour une messagerie PRO, c'est pas PRO !!!!   Merci
10;;Bonjour   Depuis plusieurs mois l'erreur S19 bloque ma tv et ceci plusieurs fois par jour. Le fait de retirer et remettre la carte suffit à relancer le fonctionnement,, mais cela devient trs agaant! L'erreur S20 se produit moins frequemment Merci de m'aider
